words,links,capital_words,spam_word_count,is_spam
176,2,1,2,0
156,1,0,1,0
971,10,19,4,1
115,0,3,0,0
935,9,17,10,1
59,1,0,1,0
169,0,8,6,0
157,1,2,1,0
177,0,0,0,0
429,9,27,9,1
264,0,0,2,0
223,2,0,0,0
565,10,14,10,1
178,1,2,2,0
383,1,1,0,0
260,2,2,0,0
142,9,8,8,1
756,3,28,9,1
306,1,6,0,0
208,1,2,2,0
38,0,0,2,0
306,5,8,0,0
91,3,0,5,0
314,5,15,7,1
217,7,23,7,1
117,2,29,9,1
139,2,10,0,0
194,0,3,5,0
310,9,16,1,1
167,2,17,6,1
259,1,0,0,0
277,1,1,0,0
164,1,2,5,0
210,0,0,1,0
442,3,28,10,1
515,7,29,2,1
74,1,1,1,0
138,7,30,3,1
226,2,2,0,0
261,0,0,4,0
276,8,14,6,1
165,1,2,1,0
169,2,3,3,0
132,3,8,5,1
293,6,27,10,1
42,1,1,2,0
491,3,3,1,0
716,4,9,8,1
960,9,19,8,1
374,3,17,3,1
256,2,3,2,0
21,0,0,5,0
608,10,8,6,1
474,6,7,7,1
103,4,3,7,1
567,3,1,9,1
109,1,3,0,0
397,1,1,2,0
152,2,1,6,0
236,1,0,2,0
172,1,2,4,0
401,4,20,7,1
293,2,1,1,0
875,8,9,0,1
184,2,0,2,0
68,0,0,2,0
242,1,0,0,0
224,10,29,10,1
497,3,5,7,1
749,2,0,4,1
705,9,23,9,1
637,5,8,10,1
138,0,10,9,1
218,1,3,3,0
76,2,2,2,0
246,9,19,3,1
650,6,17,9,1
82,4,5,3,1
136,2,0,5,0
158,2,4,1,0
20,1,2,2,0
892,6,8,6,1
454,2,3,5,0
393,8,10,3,1
579,3,7,10,1
253,0,3,1,0
196,0,1,0,0
487,5,6,3,1
217,1,1,2,0
89,2,2,2,0
630,8,27,5,1
380,4,4,7,1
87,1,28,7,1
200,2,2,0,0
330,10,10,5,1
183,0,2,0,0
388,3,21,9,1
163,2,3,0,0
47,5,0,0,0
967,3,28,3,1
106,3,3,1,0
343,4,13,7,1
174,4,0,1,0
637,8,26,10,1
858,5,12,3,1
294,2,3,0,0
256,0,1,2,0
805,3,30,0,1
156,2,3,2,0
106,2,0,6,0
65,2,8,0,0
153,5,2,6,1
281,1,1,2,0
215,2,0,1,0
322,0,2,4,0
108,0,0,9,1
504,8,6,4,1
32,0,3,1,0
213,1,3,0,0
115,1,5,0,0
441,7,27,1,1
296,2,28,9,1
68,1,1,6,0
46,1,2,0,0
912,2,3,5,1
411,2,3,2,0
451,2,5,3,1
194,2,5,1,0
273,2,0,0,0
192,0,17,7,1
126,1,2,1,0
505,5,7,10,1
188,1,3,0,0
158,2,2,1,0
28,1,2,2,0
176,5,4,4,1
520,9,8,10,1
394,9,3,8,1
120,2,25,9,1
591,9,7,4,1
73,0,0,0,0
163,0,3,4,0
956,6,5,7,1
613,2,13,5,1
166,1,2,4,0
622,5,1,7,1
75,3,0,1,0
423,1,0,0,0
510,4,24,9,1
268,0,1,0,0
266,1,1,0,0
224,1,1,3,0
257,4,3,1,0
385,2,1,2,0
120,1,3,0,0
724,6,0,10,1
349,10,25,6,1
48,1,0,0,0
249,1,3,1,0
35,0,2,1,0
151,2,9,9,1
568,4,17,10,1
374,10,30,5,1
157,2,2,8,1
34,0,0,2,0
222,1,2,0,0
93,1,5,1,0
153,2,4,0,0
162,5,23,8,1
419,2,10,3,1
635,2,9,6,1
732,2,13,3,1
399,9,21,2,1
54,2,0,0,0
794,2,11,9,1
79,1,0,2,0
577,4,27,9,1
737,2,22,1,1
253,1,0,2,0
110,5,0,1,0
178,2,1,2,0
431,1,1,2,0
848,8,0,3,1
281,1,3,0,0
142,5,4,2,1
38,1,3,2,0
263,2,3,0,0
140,0,3,2,0
124,0,4,3,0
212,4,3,0,0
177,2,2,1,0
261,2,0,2,0
73,4,3,0,0
233,0,3,2,0
545,4,4,8,1
200,0,1,1,0
758,10,26,0,1
540,6,8,8,1
154,2,23,9,1
855,2,15,3,1
184,1,0,8,1
273,1,0,2,0
809,2,28,6,1
95,5,3,7,1
545,7,19,3,1
270,1,3,4,0
686,6,20,7,1
495,5,1,5,0
95,6,8,7,1
164,2,0,0,0
268,0,0,0,0
373,4,1,3,0
229,0,4,1,0
688,9,28,9,1
396,4,11,7,1
991,5,26,3,1
810,7,8,9,1
269,1,3,3,0
281,1,4,2,0
879,5,7,8,1
717,8,22,7,1
166,0,22,7,1
153,1,8,2,0
275,0,0,3,0
23,1,2,0,0
50,3,26,2,1
48,3,2,0,0
169,8,25,9,1
30,1,2,2,0
403,3,4,4,1
180,7,21,4,1
383,8,0,0,1
689,10,27,9,1
420,0,11,4,1
184,5,27,10,1
134,4,29,7,1
87,0,3,2,0
363,1,1,2,0
121,7,29,3,1
132,3,5,10,1
824,2,4,3,1
160,1,3,0,0
183,8,13,9,1
322,9,2,10,1
997,2,17,4,1
274,0,0,1,0
520,3,24,0,1
680,4,8,0,1
717,5,30,4,1
498,3,10,4,1
141,10,29,5,1
66,2,29,3,1
685,3,24,10,1
503,5,20,6,1
198,0,2,2,0
183,2,0,1,0
75,1,0,2,0
159,1,2,1,0
326,1,0,1,0
88,0,1,1,0
335,2,1,1,0
908,2,27,9,1
337,0,3,2,0
126,1,2,1,0
334,5,5,9,1
177,4,3,5,0
260,1,1,0,0
66,3,26,9,1
133,4,23,3,1
273,2,3,2,0
55,0,6,2,0
341,4,8,2,0
63,2,3,2,0
81,5,23,3,1
183,3,30,0,1
159,5,0,2,0
60,2,3,2,0
197,0,3,0,0
418,1,21,6,1
137,2,0,6,1
213,0,4,0,0
262,5,6,0,1
435,0,1,2,0
65,1,5,2,0
198,6,19,1,1
941,9,8,0,1
577,9,11,8,1
943,10,7,7,1
197,2,3,5,0
739,2,23,10,1
188,0,0,1,0
663,6,22,9,1
222,2,0,0,0
283,1,1,1,0
30,0,1,1,0
130,2,9,3,1
54,4,3,1,0
156,3,3,0,0
21,0,2,4,0
369,2,4,6,0
134,5,1,0,0
187,2,0,2,0
181,1,3,0,0
933,6,14,9,1
502,10,27,6,1
614,9,19,7,1
106,5,3,1,0
517,6,6,7,1
427,1,1,5,0
451,10,30,6,1
331,3,8,10,1
672,5,13,10,1
177,10,11,7,1
105,1,2,2,0
468,1,4,1,0
29,1,1,1,0
575,5,27,4,1
830,5,29,5,1
236,0,2,0,0
174,1,4,2,0
844,10,8,1,1
128,5,4,3,1
629,7,29,10,1
106,1,1,0,0
375,5,24,1,1
136,1,3,5,0
130,3,3,1,0
764,3,13,3,1
910,1,7,4,1
216,0,2,2,0
194,0,3,1,0
151,3,26,10,1
394,9,5,5,1
903,5,5,3,1
74,1,3,0,0
279,9,14,3,1
53,2,0,2,0
237,3,1,0,0
54,2,3,2,0
405,5,4,9,1
178,0,1,0,0
339,5,19,9,1
203,7,28,3,1
980,2,9,9,1
31,0,2,5,0
300,9,4,6,1
200,1,18,6,1
339,2,1,2,0
811,8,27,10,1
103,4,0,2,0
333,4,3,3,1
194,2,0,5,0
857,7,6,9,1
639,3,17,3,1
58,3,1,10,1
782,1,14,5,1
644,8,15,4,1
57,1,2,4,0
485,1,0,2,0
644,2,16,2,1
730,8,20,4,1
405,7,17,8,1
199,2,14,6,1
66,1,10,2,0
354,5,6,4,1
78,6,17,6,1
187,4,28,9,1
60,0,0,0,0
327,7,0,9,1
198,7,22,8,1
231,4,2,2,0
243,1,5,2,0
243,2,0,0,0
90,3,7,5,1
488,0,3,2,0
83,1,2,1,0
287,1,8,2,0
442,4,2,10,1
110,3,0,2,0
250,10,29,5,1
84,2,0,3,1
283,2,3,5,0
174,7,12,10,1
535,3,11,3,1
560,5,17,3,1
351,10,7,4,1
71,2,8,2,0
200,0,0,2,0
99,10,8,7,1
197,2,10,4,1
799,7,28,5,1
465,2,3,2,0
193,10,7,4,1
208,2,15,0,1
958,2,19,4,1
64,9,10,6,1
179,4,13,10,1
269,3,0,2,0
846,0,4,4,1
170,6,27,7,1
262,2,2,2,0
90,8,23,6,1
231,4,0,1,0
262,2,2,2,0
440,3,25,0,1
786,4,6,5,1
78,2,0,1,0
78,2,0,2,0
933,3,29,4,1
250,1,4,1,0
212,0,3,3,0
405,1,3,2,0
383,4,2,2,0
60,1,0,0,0
929,7,19,1,1
327,2,0,10,1
552,4,23,9,1
156,2,2,1,0
203,2,3,1,0
135,5,3,0,0
282,2,1,0,0
130,6,23,4,1
639,2,2,5,1
248,10,3,3,1
243,2,0,1,0
474,8,23,6,1
20,1,3,0,0
47,0,0,1,0
722,10,17,1,1
568,8,20,0,1
243,0,3,2,0
262,2,0,0,0
720,0,30,3,1
206,1,1,2,0
28,0,0,2,0
645,6,23,3,1
928,6,10,9,1
66,0,0,2,0
221,1,2,0,0
840,1,16,5,1
214,0,1,2,0
290,1,3,6,0
112,3,13,7,1
77,5,27,6,1
328,0,12,6,1
596,2,6,2,1
162,2,4,0,0
29,1,3,2,0
951,3,16,1,1
283,0,2,2,0
184,8,2,6,1
143,0,5,8,1
154,3,27,0,1
101,1,14,6,1
52,7,12,7,1
185,5,3,2,0
283,4,26,6,1
22,1,3,4,0
834,0,9,6,1
110,6,10,8,1
431,6,15,9,1
589,10,8,8,1
868,7,3,9,1
988,3,14,4,1
295,3,1,2,0
174,0,2,1,0
820,10,5,9,1
125,5,8,3,1
285,0,3,1,0
387,0,2,0,0
88,1,25,10,1
474,2,3,0,0
98,2,3,1,0
251,5,5,0,0
283,2,0,1,0
169,0,2,1,0
126,0,1,2,0
201,2,16,8,1
44,2,2,0,0
161,9,17,9,1
239,0,1,2,0
93,2,1,2,0
161,6,22,3,1
79,4,20,3,1
421,2,3,0,0
324,1,10,3,1
122,9,5,9,1
294,2,3,5,0
812,10,6,3,1
176,3,12,3,1
283,0,0,1,0
254,4,18,9,1
211,0,18,0,1
218,2,2,0,0
160,2,2,2,0
276,5,27,2,1
623,9,5,3,1
155,2,1,1,0
345,2,1,1,0
434,4,8,7,1
70,2,3,0,0
899,2,21,7,1
613,8,15,4,1
270,1,3,0,0
55,2,1,0,0
759,2,1,2,1
190,9,22,8,1
145,1,3,2,0
988,8,16,2,1
889,9,11,6,1
142,2,10,3,1
383,10,10,1,1
534,3,6,0,1
377,1,11,0,1
100,1,0,1,0
857,2,25,0,1
119,0,3,1,0
573,10,30,3,1
330,2,0,2,1
43,0,5,1,0
116,5,24,10,1
